time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-15T09:19:00.000Z,63.0665,-149.172,50,1.5,ml,,,,0.4,ak,ak13845272,2016-08-15T09:30:50.758Z,"37km SSW of Cantwell, Alaska",earthquake,0.5,0.8,,,automatic,ak,ak
2016-08-15T09:06:06.340Z,38.8233337,-122.8416672,1.66,0.94,md,10,140,0.01598,0.01,nc,nc72677591,2016-08-15T09:07:43.203Z,"8km NW of The Geysers, California",earthquake,0.39,0.97,0.07,2,automatic,nc,nc
2016-08-15T08:48:36.360Z,33.6441667,-116.7563333,11.64,0.07,ml,11,99,0.07551,0.22,ci,ci37446455,2016-08-15T14:06:00.763Z,"11km SSW of Idyllwild, CA",earthquake,0.98,1.3,0.127,5,reviewed,ci,ci
2016-08-15T08:33:36.370Z,33.5038333,-116.5281667,8.96,0.53,ml,24,84,0.05358,0.13,ci,ci37446447,2016-08-15T14:07:24.310Z,"15km ESE of Anza, CA",earthquake,0.23,0.45,0.094,17,reviewed,ci,ci
2016-08-15T08:32:24.989Z,40.1385,-120.2078,10.8,-0.1,ml,4,238.28,0.071,0.0765,nn,nn00556306,2016-08-15T17:20:44.073Z,"32km ESE of Janesville, California",earthquake,,3.5,0.19,2,reviewed,nn,nn
2016-08-15T08:26:24.890Z,33.664,-116.7586667,15.29,1.13,ml,47,37,0.05992,0.16,ci,ci37446439,2016-08-15T14:07:29.330Z,"9km SSW of Idyllwild, CA",earthquake,0.2,0.34,0.185,27,reviewed,ci,ci
2016-08-15T08:23:33.760Z,40.0281677,-120.814003,3.11,2.35,md,17,86,0.0568,0.04,nc,nc72677571,2016-08-15T14:53:35.969Z,"12km NNE of East Quincy, California",earthquake,0.27,0.74,0.17,16,automatic,nc,nc
2016-08-15T08:23:08.120Z,50.4543,142.3168,10,4.7,mb,,107,3.51,0.79,us,us10006dw2,2016-08-15T08:43:51.568Z,"49km SSW of Tymovskoye, Russia",earthquake,9.1,1.9,0.037,229,reviewed,us,us
2016-08-15T08:23:06.000Z,61.7546,-150.7905,50,1.6,ml,,,,0.66,ak,ak13845101,2016-08-15T08:32:17.050Z,"39km W of Willow, Alaska",earthquake,0.4,0.7,,,automatic,ak,ak
2016-08-15T08:22:20.230Z,34.2031667,-117.7891667,10.05,0.98,ml,21,54,0.07622,0.16,ci,ci37446431,2016-08-15T14:06:19.390Z,"10km NE of Glendora, CA",earthquake,0.3,0.71,0.175,30,reviewed,ci,ci
2016-08-15T08:12:24.510Z,33.5041667,-116.5268333,11.22,0.36,ml,19,125,0.05331,0.2,ci,ci37446423,2016-08-15T14:07:37.031Z,"15km ESE of Anza, CA",earthquake,0.52,0.73,0.149,9,reviewed,ci,ci
2016-08-15T08:07:47.000Z,63.0389,-151.4062,15,2.1,ml,,,,0.67,ak,ak13845093,2016-08-15T08:18:45.385Z,"103km NW of Talkeetna, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
2016-08-15T07:52:46.690Z,34.147,-118.3608333,11.85,1.24,ml,23,65,0.02937,0.17,ci,ci37446415,2016-08-15T14:07:43.843Z,"1km NW of Universal City, CA",earthquake,0.43,0.51,0.129,28,reviewed,ci,ci
2016-08-15T07:42:54.241Z,40.3162,-119.7972,10.5,1.4,ml,16,105.42,0.373,0.1276,nn,nn00556265,2016-08-15T14:43:45.505Z,"46km SW of Gerlach-Empire, Nevada",earthquake,,2.5,0.21,8,reviewed,nn,nn
2016-08-15T07:24:11.100Z,32.6695,-115.9483333,6.59,1.27,ml,19,77,0.03104,0.19,ci,ci37446407,2016-08-15T14:07:59.856Z,"8km SSE of Ocotillo, CA",earthquake,0.37,0.73,0.179,18,reviewed,ci,ci
2016-08-15T07:04:41.470Z,37.4138,141.7413,32.71,5.3,mwb,,16,0.881,1.4,us,us10006dvd,2016-08-15T19:40:06.816Z,"66km E of Namie, Japan",earthquake,6.5,3.4,0.043,52,reviewed,us,us
2016-08-15T06:59:57.080Z,33.4815,-116.4293333,11.49,1.31,ml,46,58,0.0419,0.22,ci,ci37446391,2016-08-15T14:09:36.840Z,"23km SSW of La Quinta, CA",earthquake,0.26,0.53,0.197,26,reviewed,ci,ci
